id_subsistema,id_estado,nom_localizacao,nom_tipousina,val_geracaoprogramada,val_geracaoverificada,val_capacidadeinstalada,val_fatorcapacidade,data
NE,CE,Litoral,Eólica,23.0,20.163,105.0,0.1920285714285714,2009-07-27
NE,RN,Litoral,Eólica,6.0,3.514,51.0,0.0689019607843137,2009-07-27
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-27
S,RS,,Eólica,0.0,29.391,70.0,0.4198714285714285,2009-07-27
NE,CE,Litoral,Eólica,41.5,33.07,54.6,0.6056776556776556,2009-07-27
NE,CE,Litoral,Eólica,35.5,24.87,105.0,0.2368571428571428,2009-07-27
NE,RN,Litoral,Eólica,11.0,9.948,51.0,0.1950588235294117,2009-07-27
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-27
S,RS,,Eólica,0.0,20.329,70.0,0.2904142857142857,2009-07-27
NE,CE,Litoral,Eólica,43.0,38.472,54.6,0.7046153846153846,2009-07-27
NE,CE,Litoral,Eólica,63.5,49.61,105.0,0.4724761904761904,2009-07-27
NE,RN,Litoral,Eólica,11.0,16.555,51.0,0.3246078431372549,2009-07-27
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-28
S,RS,,Eólica,0.0,16.504,70.0,0.2357714285714285,2009-07-28
NE,CE,Litoral,Eólica,42.5,33.165,54.6,0.6074175824175824,2009-07-28
NE,CE,Litoral,Eólica,54.0,50.919,105.0,0.4849428571428571,2009-07-28
NE,RN,Litoral,Eólica,8.5,19.288,51.0,0.3781960784313725,2009-07-28
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-28
S,RS,,Eólica,0.0,12.206,70.0,0.1743714285714285,2009-07-28
NE,CE,Litoral,Eólica,45.0,28.862,54.6,0.5286080586080586,2009-07-28
NE,CE,Litoral,Eólica,42.0,67.693,105.0,0.644695238095238,2009-07-28
NE,RN,Litoral,Eólica,14.5,37.541,51.0,0.7360980392156862,2009-07-28
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-28
S,RS,,Eólica,0.0,8.655,70.0,0.1236428571428571,2009-07-28
NE,CE,Litoral,Eólica,46.0,35.953,54.6,0.6584798534798534,2009-07-28
NE,CE,Litoral,Eólica,64.5,86.398,105.0,0.8228380952380951,2009-07-28
NE,RN,Litoral,Eólica,18.0,42.343,51.0,0.8302549019607843,2009-07-28
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-28
S,RS,,Eólica,0.0,4.598,70.0,0.0656857142857142,2009-07-28
NE,CE,Litoral,Eólica,44.5,42.998,54.6,0.7875091575091575,2009-07-28
NE,CE,Litoral,Eólica,86.0,93.055,105.0,0.8862380952380952,2009-07-28
NE,RN,Litoral,Eólica,20.5,45.604,51.0,0.8941960784313725,2009-07-28
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-28
S,RS,,Eólica,0.0,3.981,70.0,0.0568714285714285,2009-07-28
NE,CE,Litoral,Eólica,46.0,43.104,54.6,0.7894505494505494,2009-07-28
NE,CE,Litoral,Eólica,91.5,96.098,105.0,0.9152190476190476,2009-07-28
NE,RN,Litoral,Eólica,22.0,48.258,51.0,0.946235294117647,2009-07-29
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-29
S,RS,,Eólica,0.0,2.511,70.0,0.0358714285714285,2009-07-29
NE,CE,Litoral,Eólica,45.5,42.745,54.6,0.7828754578754578,2009-07-29
NE,CE,Litoral,Eólica,90.0,97.01,105.0,0.923904761904762,2009-07-29
NE,RN,Litoral,Eólica,22.0,48.498,51.0,0.9509411764705882,2009-07-29
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-29
S,RS,,Eólica,0.0,2.844,70.0,0.0406285714285714,2009-07-29
NE,CE,Litoral,Eólica,47.5,43.551,54.6,0.7976373626373626,2009-07-29
NE,CE,Litoral,Eólica,92.0,98.068,105.0,0.9339809523809524,2009-07-29
NE,RN,Litoral,Eólica,22.0,48.953,51.0,0.9598627450980391,2009-07-29
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-29
S,RS,,Eólica,0.0,4.146,70.0,0.0592285714285714,2009-07-29
NE,CE,Litoral,Eólica,48.5,41.111,54.6,0.7529487179487179,2009-07-29
NE,CE,Litoral,Eólica,97.0,97.673,105.0,0.9302190476190476,2009-07-29
NE,RN,Litoral,Eólica,21.5,47.561,51.0,0.9325686274509803,2009-07-29
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-29
S,RS,,Eólica,0.0,3.668,70.0,0.0524,2009-07-29
NE,CE,Litoral,Eólica,49.5,41.031,54.6,0.7514835164835164,2009-07-29
NE,CE,Litoral,Eólica,95.0,96.002,105.0,0.914304761904762,2009-07-29
NE,RN,Litoral,Eólica,20.5,40.855,51.0,0.801078431372549,2009-07-29
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-29
S,RS,,Eólica,0.0,2.634,70.0,0.0376285714285714,2009-07-29
NE,CE,Litoral,Eólica,48.0,32.473,54.6,0.5947435897435897,2009-07-29
NE,CE,Litoral,Eólica,84.0,94.897,105.0,0.9037809523809524,2009-07-30
NE,RN,Litoral,Eólica,15.5,33.939,51.0,0.6654705882352941,2009-07-30
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-30
S,RS,,Eólica,0.0,2.017,70.0,0.0288142857142857,2009-07-30
NE,CE,Litoral,Eólica,47.5,33.779,54.6,0.6186630036630036,2009-07-30
NE,CE,Litoral,Eólica,65.0,94.27,105.0,0.8978095238095238,2009-07-30
